part_type_id,parent_id,short_name,long_name,mouser_url
1000,0,circuit-protection,Circuit Protection,/circuit-protection/
2000,0,connectors,Connectors,/connectors/
3000,0,electromechanical,electromechanical,/electromechanical/
4000,0,embedded-solutions,embedded-solutions,/embedded-solutions/
5000,0,enclosures,enclosures,/enclosures/
6000,0,engineering-development-tools,engineering-development-tools,/semiconductors/engineering-development-tools/
7000,0,industrial-automation,industrial-automation,/industrial-automation/
8000,0,led-lighting,led-lighting,/optoelectronics/led-lighting/
9000,0,optoelectronics,optoelectronics,/optoelectronics/
10000,0,passive-components,passive-components,/passive-components/
11000,0,power,power,/power/
12000,0,rf-wireless,rf-wireless,/rf-wireless/
13000,0,semiconductors,semiconductors,/semiconductors/
14000,0,sensors,sensors,/sensors/
15000,0,test-measurement,test-measurement,/test-measurement/
16000,0,thermal-management,thermal-management,/thermal-management/
17000,0,tools-supplies,tools-supplies,/tools-supplies/
18000,0,wire-cable,wire-cable,/wire-cable/
1001,1000,circuit-breakers-accessories,Circuit Breakers & Accessories,/circuit-protection/circuit-breakers-accessories/
1002,1000,circuit-protection-kits,Circuit Protection Kits,/circuit-protection/circuit-protection-kits/
1003,1000,esd-protection-diodes-tvs-diodes,ESD Protection Diodes / TVS Diodes,/circuit-protection/esd-protection-diodes-tvs-diodes/
1004,1000,fuse-holders,Fuse Holders,/circuit-protection/fuse-holders/
1005,1000,fuses,Fuses,/circuit-protection/fuses/
1006,1000,gas-discharge-tubes-gdts-gas-plasma-arrestors,Gas Discharge Tubes - GDTs / Gas Plasma Arrestors,/circuit-protection/gas-discharge-tubes-gdts-gas-plasma-arrestors/
1007,1000,led-protection-devices,LED Protection Devices,/circuit-protection/led-protection-devices/
1008,1000,power-outlet-strips,Power Outlet Strips,/circuit-protection/power-outlet-strips/
1009,1000,resettable-fuses-pptc,Resettable Fuses - PPTC,/circuit-protection/resettable-fuses-pptc/
